,term,rank,scores,counting,attention_average
13661,looking,70.83602448756297,75.3157907705754,4392.0,0.017148404091661067
12725,keep,70.3367833016788,64.51859283861268,4200.0,0.015361569723479209
8746,fit,69.61922254702739,66.63604086959094,3672.0,0.018147069953592304
8309,far,69.36544087893859,65.30249974525577,4112.0,0.015880958109254807
24488,think,68.65395143503844,59.631203193865076,5176.0,0.011520711590777642
754,always,68.33608534094084,68.8148204007939,3880.0,0.017735778453812863
7381,electric,68.10263839038434,64.06319033689215,4136.0,0.015489165942188623
6268,different,67.61465163058973,59.856308196765895,4696.0,0.012746232580231238
15528,needed,67.53697560604962,65.65944121242501,3272.0,0.02006706638521547
13976,makes,67.14253257935556,67.24678511847378,4176.0,0.016103157355956365
11123,hold,67.07262168197764,64.05965141661363,3520.0,0.01819876460699251
13669,looks,66.91197707176786,66.66041814656273,3480.0,0.01915529257085136
13654,look,66.83127169496042,65.45395696827563,3768.0,0.01737100768797124
1039,another,66.6671772976298,57.27085778738547,4504.0,0.012715554570911516
12897,know,66.1639280434501,60.677940141031286,4272.0,0.01420363767346238
14967,money,65.56783715372663,58.75574615982623,3520.0,0.016691973340859725
13352,light,65.0227576557255,61.26639115969374,4096.0,0.014957615029222104
15617,never,64.8304540406814,58.40883780595141,3784.0,0.015435739377894135
14072,many,64.46259670404524,61.91248436214664,4392.0,0.014096649444933206
23644,sure,64.40740825331248,57.50829173814418,4056.0,0.014178572913743635
18207,power,63.64442014474513,58.11461749717273,4792.0,0.012127424352498483
27603,worth,62.19826879201049,54.49584826470527,3328.0,0.01637495440646192
21005,seems,61.32216638899227,53.68144265880983,3544.0,0.015147133933072751
11968,instrument,60.396156953169125,55.19168239869032,4096.0,0.013474531835617753
25431,try,60.25815029160305,55.85090506462802,4200.0,0.013297834539197148
8595,find,60.215593650969076,55.10865738878783,4520.0,0.012192180838227396
20991,see,60.06207841543145,53.13360497838585,4056.0,0.013100001227412684
24553,though,59.87958774110973,51.40462841808767,3984.0,0.01290276817723084
23401,sturdy,59.23027054671186,55.68740804868867,2376.0,0.023437461299953142
22152,solid,58.94049010895478,57.55471083350858,3704.0,0.015538528842739898
10599,hard,58.53313469801688,53.18308537056146,3840.0,0.01384976181525038
6232,didnt,57.993061576705244,0.0,0.0,
22203,something,57.97227657965158,48.98877459454161,3912.0,0.012522692892265238
15293,music,57.295881490053695,53.521125781462615,3544.0,0.015101897793866427
25337,tried,57.00225680032253,51.885281633884006,3640.0,0.014254198251067034
10591,happy,56.90828720388328,50.590026915233466,2640.0,0.01916288898304298
11027,highly,56.28132319803634,48.74165757720766,2600.0,0.0187467913758491
21677,since,55.952579390004495,47.61299844783207,3688.0,0.012910249036830822
15501,neck,55.92477951651154,42.25301839450549,3312.0,0.01275755386307533
25550,tuners,55.51659809154635,0.0,0.0,
27886,youre,54.99920535898974,0.0,0.0,
7173,easily,54.75646648978892,47.52574768517661,3168.0,0.015001814294563324
9791,give,54.702853270927186,47.873929540321114,3768.0,0.012705395313248703
10865,heavy,54.69236053604858,50.059876088776946,3112.0,0.016086078434696963
11002,high,54.20172409087316,51.6499407321171,4216.0,0.012250934708756428
9884,going,53.869115798602266,41.56001656184526,3560.0,0.01167416195557451
7893,every,53.65861688569591,44.69263076434436,3160.0,0.014143237583653278
25581,tuning,53.63253123863556,49.856025106859306,3672.0,0.013577348885310269
21757,size,53.26790804189036,46.612568086362444,2920.0,0.015963208248754263
18550,problem,52.91784665426,44.70862753513211,3408.0,0.01311872873683454
15750,noise,52.43891293454288,46.57585928516346,3352.0,0.013894946087459266
7550,end,52.32767507331759,46.436520933642896,3872.0,0.011992903133688764
21645,simple,51.89183646214287,45.866902744513936,2704.0,0.016962611961728526
